DateTime,TimeEpoch,Temperature,Humidity,xaccelaration,yaccelaration,zaccelaration

2021/09/01 10:07:41,1630462061.8624332,,,0.13,-0.09,-0.02

2021/09/01 10:07:41,1630462061.9624515,,,0.13,-0.09,-0.02

2021/09/01 10:07:42,1630462062.0623655,,,0.13,-0.08,-0.01

2021/09/01 10:07:42,1630462062.1623654,,,0.12,-0.09,-0.02

2021/09/01 10:07:42,1630462062.2623315,,,0.13,-0.09,-0.02

2021/09/01 10:07:42,1630462062.3633666,,,0.13,-0.08,-0.05

2021/09/01 10:07:42,1630462062.462354,,,0.13,-0.09,-0.02

2021/09/01 10:07:42,1630462062.562362,,,0.13,-0.09,-0.02

2021/09/01 10:07:42,1630462062.6623173,,,0.13,-0.08,-0.01

2021/09/01 10:07:42,1630462062.7623532,,,0.13,-0.09,-0.02

2021/09/01 10:07:42,1630462062.8623848,,,0.12,-0.09,-0.03

2021/09/01 10:07:42,1630462062.9623609,,,0.13,-0.09,-0.01

2021/09/01 10:07:43,1630462063.0623722,,,0.13,-0.08,-0.02

2021/09/01 10:07:43,1630462063.1633651,,,0.13,-0.08,-0.01

2021/09/01 10:07:43,1630462063.26232,,,0.13,-0.09,-0.02

2021/09/01 10:07:43,1630462063.3622644,,,0.12,-0.09,-0.02

2021/09/01 10:07:43,1630462063.4623508,,,0.11,-0.08,-0.01

2021/09/01 10:07:43,1630462063.5633626,,,0.13,-0.08,-0.02

2021/09/01 10:07:43,1630462063.6623611,,,0.13,-0.08,-0.02

2021/09/01 10:07:43,1630462063.7633731,,,0.13,-0.08,-0.02

2021/09/01 10:07:43,1630462063.8632758,,,0.13,-0.12,-0.01

2021/09/01 10:07:43,1630462063.963296,,,0.13,-0.09,-0.01

2021/09/01 10:07:44,1630462064.0632508,,,0.11,-0.08,-0.01

2021/09/01 10:07:44,1630462064.163205,,,0.18,-0.09,0.15

2021/09/01 10:07:44,1630462064.2622306,,,0.13,-0.08,-0.02

2021/09/01 10:07:44,1630462064.3622298,,,0.13,-0.06,-0.01

2021/09/01 10:07:44,1630462064.4621935,,,0.13,-0.09,-0.02

2021/09/01 10:07:44,1630462064.5631902,,,0.13,-0.09,-0.02

2021/09/01 10:07:44,1630462064.6621833,,,0.26,0.01,0.16

2021/09/01 10:07:44,1630462064.7632203,,,0.15,-0.03,-0.03

2021/09/01 10:07:44,1630462064.8621573,,,0.13,0.01,-0.08

2021/09/01 10:07:44,1630462064.9631457,,,0.24,-0.08,0.0

2021/09/01 10:07:45,1630462065.0621586,,,0.13,-0.07,-0.02

2021/09/01 10:07:45,1630462065.1631823,,,0.13,-0.09,-0.01

2021/09/01 10:07:45,1630462065.2631826,,,0.13,-0.08,-0.01

2021/09/01 10:07:45,1630462065.362167,,,0.13,-0.12,-0.01

2021/09/01 10:07:45,1630462065.463115,,,0.13,-0.09,0.07

2021/09/01 10:07:45,1630462065.5621164,,,0.13,-0.11,-0.01

2021/09/01 10:07:45,1630462065.66316,,,0.13,-0.08,-0.02

2021/09/01 10:07:45,1630462065.7631598,,,0.13,-0.08,-0.01

2021/09/01 10:07:45,1630462065.8621588,,,0.16,-0.09,-0.02

2021/09/01 10:07:45,1630462065.9631598,,,0.13,-0.15,-0.02

2021/09/01 10:07:46,1630462066.0631597,,,0.13,-0.09,-0.02

2021/09/01 10:07:46,1630462066.1630797,,,0.13,-0.08,0.01

2021/09/01 10:07:46,1630462066.2630544,,,0.13,-0.08,-0.05

2021/09/01 10:07:46,1630462066.3630917,,,0.13,-0.08,-0.02

2021/09/01 10:07:46,1630462066.4630864,,,0.51,-0.08,-0.01

2021/09/01 10:07:46,1630462066.5630362,,,0.13,-0.01,-0.02

2021/09/01 10:07:46,1630462066.6630604,,,0.13,-0.08,-0.02

2021/09/01 10:07:46,1630462066.7630696,,,0.19,-0.08,-0.01

2021/09/01 10:07:46,1630462066.8624566,,,0.13,-0.08,-0.03

2021/09/01 10:07:46,1630462066.963052,,,0.13,-0.09,-0.02

2021/09/01 10:07:47,1630462067.0630279,,,0.14,-0.08,-0.03

2021/09/01 10:07:47,1630462067.1630504,30.30,70.70,0.13,-0.05,-0.01

2021/09/01 10:07:47,1630462067.263051,,,0.13,-0.06,-0.02

2021/09/01 10:07:47,1630462067.3630016,,,0.13,-0.08,0.0

2021/09/01 10:07:47,1630462067.4630637,,,0.13,-0.08,-0.02

2021/09/01 10:07:47,1630462067.5629768,,,0.12,-0.07,-0.02

2021/09/01 10:07:47,1630462067.6630154,,,0.13,-0.09,-0.02

2021/09/01 10:07:47,1630462067.7630126,,,0.13,-0.08,-0.03

2021/09/01 10:07:47,1630462067.863056,,,0.13,-0.1,-0.09

2021/09/01 10:07:47,1630462067.9630527,,,0.13,-0.08,-0.02

2021/09/01 10:07:48,1630462068.0630546,,,0.13,-0.08,-0.01

2021/09/01 10:07:48,1630462068.1622784,,,0.13,-0.09,-0.02

2021/09/01 10:07:48,1630462068.2629967,,,0.13,-0.08,-0.08

2021/09/01 10:07:48,1630462068.3630192,,,0.12,-0.06,-0.03

2021/09/01 10:07:48,1630462068.4630175,,,0.13,-0.06,0.0

2021/09/01 10:07:48,1630462068.5629802,,,0.13,-0.08,-0.02

2021/09/01 10:07:48,1630462068.662971,,,0.13,-0.08,-0.02

2021/09/01 10:07:48,1630462068.7629654,,,0.13,-0.08,-0.02

2021/09/01 10:07:48,1630462068.8629415,,,-0.03,-0.08,-0.02

2021/09/01 10:07:48,1630462068.9629447,,,0.08,-0.05,-0.02

2021/09/01 10:07:49,1630462069.062942,,,0.15,-0.08,-0.08

